"X","tweet_text","tweet_sentiment"
11,"WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple","negative"
15,"@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync","negative"
17,"WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK","negative"
24,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc","negative"
25,"i get the storage almost full notification literally every 5 minutes chill @apple","negative"
26,"I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n","negative"
27,"@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle","negative"
40,"That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL","negative"
42,"Nigga update yall headphones @Apple","negative"
44,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","negative"
45,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.","negative"
47,"@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers","negative"
48,"@apple U need to get ur fucking shit together and let me txt while on YouTube","negative"
49,"@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure","negative"
52,"#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb","negative"
58,"hey @apple fuck you","negative"
60,"@apple why doesn't your people explain precautions when buying an expensive laptop","negative"
64,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple","negative"
65,"@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it","negative"
70,"Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.","negative"
71,"Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM","negative"
74,"Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv","negative"
75,"3G is draining my battery fix this @apple","negative"
77,"@apple your chargers suck ass! They just love to break!","negative"
81,"I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad","negative"
82,"@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!","negative"
84,"RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure","negative"
87,"So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple","negative"
88,"Thisn#Yosemite update is stressing me out @apple #macbookpro","negative"
89,"Just broke my 3rd charger of the month. Get your shit together @apple","negative"
90,"This iPhone 6 battery isn't as good as you claim, @apple","negative"
91,"#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..","negative"
95,"@apple @iphone4 oh it's not fair and i think you're really mean","negative"
99,"I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple","negative"
101,"@apple why was the iphone 4 ever created","negative"
102,"@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot","negative"
109,"IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE","negative"
112,"My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple","negative"
118,"@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck","negative"
120,"RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple","negative"
124,"Fix it @apple http://t.co/cHoq6LHeHo","negative"
126,"How long does it really take for a phone to ship @apple smh","negative"
131,"So, on my iphone5, the @apple health kit is no longer gathering data.  Sigh.","negative"
133,"Thanks @apple for changing yet another fuck into duck...Thanks.","negative"
134,"@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  http://t.co/hNuWafq0sI","negative"
135,"@brwnskin_beauti cause fuck @apple","negative"
137,"if i buy a 16 gb phone i should have 16 GB'S TO USE @apple","negative"
138,"fuck you for BREAKING MY MUSIC @apple","negative"
143,"just need @apple to come out with a charger cord that keep a charge &amp; don't fall apart http://t.co/VZ8HDbMzlu","negative"
144,"RT @AMANDAZUCKERMAN: You should be able to forward a voicemail. Why isn't that a thing? @apple","negative"
145,"@apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from #facebook #thanks","negative"
146,"@Apple I h8 everything about u","negative"
147,"@apple ur a disgrace","negative"
149,"My phone is on acid right now @apple fix this","negative"
150,"@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj","negative"
151,"@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective","negative"
154,"RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom","negative"
155,"Yo @Apple fix your shitty iMessage","negative"
159,"Yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it","negative"
161,"Those** PICK UP THE SLACK YOU FUCK BOYS @Apple","negative"
164,"fucking faggots @apple","negative"
165,"@Apple of course that's not their mother fucking @","negative"
167,"the fuck kinda gay shit you print in the fucking ketosis @apple","negative"
168,"Game*** @Apple you bitches really trying me tonight! RT @DreMacsAMillion: @WhoSFlyy__ gams night gawd","negative"
170,"RT @bella_bong_: @apple U need to get ur fucking shit together and let me txt while on YouTube","negative"
171,"@apple @Disney Why can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies #stupid #lame #StarWars","negative"
178,"Can @apple drop Audio Only rendition requirement for iOS apps? 
Users hate it 
No other stores want it
Other platforms don't know what it is","negative"
179,"None too happy with @Apple Mac OS X (Yosemite), File Vault 2, or Boot Camp right now. Thankful to own a @lenovo.","negative"
182,"I demand there be a tapatio emoji @apple","negative"
185,"so for the second time #aapl #pages ate my edits. 700bn? #amateurs #fail #iwantjobsback","negative"
186,"feel so lost with out my phone :(  @apple iPhone 5 chargers are horrendous! #brokenchargerprobs","negative"
188,"Excellent news #HouseOfCards S3 on @netflix 27/2! I wonder if Yosemite &amp; my wifi will be talking by then @apple @tim_cook ? It's been wks!!","negative"
189,"@apple my laptop is burning my legs what do u have to say about this","negative"
193,"@HammerArcade This makes me feel so sad ;-; WHY DO U HAVE TO BE SO ROOD @APPLE","negative"
194,"I hate these @apple earphones so bad. Why in the world did they think it was a good idea to p http://t.co/X7lIGAQeG5 http://t.co/ihR2OGZa6s","negative"
203,"Why you dying so fast phone? Fuck you @apple","negative"
204,"@remuuusss @apple fix this","negative"
210,"@apple #apple #iphone @iphone #iphone4s #iphone4problems  SOMEONE FUCKING HELP ME SOMEONE WHO WORKS AT APPLE FUCKING HELP ME DO UR JOB CUNTS","negative"
211,"WTF @Apple, synching notes or iCloud pages is unusable. It used to be easier.","negative"
213,"hey @apple fuck you just let me change stores","negative"
214,"about to write a huge fuck you to @apple for not letting me make reservations to get my laptop fixed","negative"
215,"Apple tumbles as much as 6 percent in unusual trading $AAPL #aapl
http://t.co/0wtDVpBm4u","negative"
